Dataset,Creation date,Creation location,Creation methodology,Creation source,Aggregated creator contributor,Maintenance frequency,Maintenance location,Maintenance methodology,Modification date,Aggregated Maintenance contributor,Usage access procedure,Usage license,Usage requirements,Usage reuse,Usage concepts covered,Usage dataset description,Usage dataset entities,Usage examples,Usage dataset quality,Usage RDF serialization,Usage dataset triples,Usage End availability,Usage End validity,Usage start availability,Usage access address,Usage location,Usage dataset webpage,Usage audience,Usage Dataset publisher,Usage rights
#pro-wormbase-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro67_0rdf,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-ensembl-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-ensemblbacteria-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-hgnc-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-mgi-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-ncbigene-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-reactome-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-reactome-exactMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#pro67_0rdf-rgd-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
